Frequency (Hz) - Variance,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency (Hz) - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency (Hz) - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power (VA) - Mean,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power (VA) - Standard Deviation,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power (VA) - Variance,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power (VA) - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power (VA) - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Factor - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Factor - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Crest Factor - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Crest Factor - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage Crest Factor - Max,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage Crest Factor - Min,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,236.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time (Sec) - Max,998.166234,20.000000,20.000000,810.616974,20.000000,20.000000,806.158165,20.000000,20.000000,34.961322,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time (Sec) - Min,15.167789,20.000000,20.000000,15.117559,20.000000,20.000000,15.157022,20.000000,20.000000,15.461722,20.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Flow Rate()-Mean,24.827905,0.000000,0.000000,24.857545,0.000000,0.000000,24.836679,0.000000,0.000000,24.307919,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Flow Rate()-Standard Deviation,0.503519,NaN,NaN,0.558243,NaN,NaN,0.561770,NaN,NaN,3.473140,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Flow Rate()-Variance,0.253532,NaN,NaN,0.311635,NaN,NaN,0.315585,NaN,NaN,12.062699,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Flow Rate()-Max,24.985922,0.000000,0.000000,25.016310,0.000000,0.000000,25.037075,0.000000,0.000000,24.905611,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass Flow Rate()-Min,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density()-Mean,8.345732,0.000000,0.000000,8.345012,0.000000,0.000000,8.344408,0.000000,0.000000,8.186462,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density()-Standard Deviation,0.167926,NaN,NaN,0.186554,NaN,NaN,0.187622,NaN,NaN,1.169261,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density()-Variance,0.028199,NaN,NaN,0.034802,NaN,NaN,0.035202,NaN,NaN,1.367171,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density()-Max,8.350131,0.000000,0.000000,8.350241,0.000000,0.000000,8.349764,0.000000,0.000000,8.350445,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Density()-Min,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
