System Date,System Time,Elapsed Time (sec),,Software Elapsed Time (sec),Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - HI1,Pressure - HI2,Pressure - LOW,Pressure - PIN,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,T2-13,T3-18,Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Heating Value (BTU/ft³),Energy (BTU),Totalizer [Sft3],Gas Selected,Thermal Efficiency (%)
9/25/2020,31:12.3,6444.65,125,12465.57,Heating Tanks.... ,116.133,58.3,59.1,122.4,69.2,0.004,0,0.003,0.002,0.002,0.002,0,8.342,60.172,0.032,385.975,46.262,6.631,151.612,0,0.004,0,0,125.2,122.2,118.4,112.4,109.6,109,0,1,0,0,0,219.164,68.499,30.18,0.76,29.42,71.3,38.554,37.971,40419.74979,1064.49,44639.38815,41.935,NatG-1,
9/25/2020,31:15.3,6447.65,128,12468.58,Heating Tanks.... ,116.15,58.3,59.2,122.3,69.2,0.004,0,0.003,0.002,0.001,0.002,0,8.341,60.207,0.032,385.975,46.262,6.635,151.612,0,0.004,0,0,125.3,122.2,118,112.5,109.7,109.2,0,1,0,0,0,219.776,68.476,30.18,0.76,29.421,71.3,38.507,37.928,40373.97672,1064.49,44673.45183,41.967,NatG-1,
9/25/2020,31:18.3,6450.65,131,12471.57,Heating Tanks.... ,116.25,58.3,59.2,122.2,69.2,0.004,0,0.003,0.002,0.002,0.002,0,8.341,60.228,0.032,385.975,46.262,6.638,151.612,0,0.004,0,0,125.4,122.3,117.7,112.6,110.3,109.2,0,1,0,0,0,220.545,68.458,30.19,0.77,29.421,71.3,38.574,37.991,40441.03959,1064.49,44706.45102,41.998,NatG-1,
9/25/2020,31:21.3,6453.65,134,12474.57,Heating Tanks.... ,116.267,58.3,59.2,122.2,69.2,0.004,0,0.002,0.002,0.002,0.002,0,8.341,60.229,0.032,385.975,46.262,6.635,151.611,0,0.004,0,0,125.5,122.3,117.3,112.4,110.8,109.3,0,1,0,0,0,221.29,68.4,30.19,0.77,29.42,71.3,38.491,37.911,40355.88039,1064.49,44739.45021,42.029,NatG-1,
9/25/2020,31:24.3,6456.65,137,12477.57,Heating Tanks.... ,116.3,58.3,59.2,122.1,69.2,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.242,0.032,385.975,46.262,6.636,151.611,0,0.004,0,0,125.5,122.3,117,112.6,110.9,109.5,0,1,0,0,0,222.035,68.47,30.19,0.76,29.421,71.29,38.55,37.964,40412.29836,1064.49,44773.51389,42.061,NatG-1,
9/25/2020,31:27.3,6459.65,140,12480.57,Heating Tanks.... ,116.317,58.4,59.2,122,69.2,0.004,0,0.003,0.002,0.002,0.002,0,8.341,60.269,0.032,385.975,46.262,6.633,151.611,0,0.004,0,0,125.5,122.3,117.2,112.9,110.8,109.2,0,1,0,0,0,222.799,68.411,30.18,0.76,29.421,71.29,38.527,37.945,40392.07305,1064.49,44807.57757,42.093,NatG-1,
9/25/2020,31:30.3,6462.65,143,12483.58,Heating Tanks.... ,116.333,58.3,59.3,121.9,69.1,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.268,0.032,385.975,46.262,6.639,151.611,0,0.004,0,0,125.4,122.3,117.3,112.9,110.7,109.4,0,1,0,0,0,223.607,68.452,30.19,0.77,29.42,71.29,38.507,37.925,40370.78325,1064.49,44840.57676,42.124,NatG-1,
9/25/2020,31:33.3,6465.65,146,12486.57,Heating Tanks.... ,116.417,58.4,59.3,121.9,69.1,0.004,0,0.002,0.002,0.002,0.002,0,8.342,60.27,0.032,385.975,46.262,6.639,151.61,0,0.004,0,0,125.5,122.4,117.3,112.8,110.7,109.8,0,1,0,0,0,224.253,68.423,30.19,0.77,29.421,71.29,38.487,37.908,40352.68692,1064.49,44873.57595,42.155,NatG-1,
9/25/2020,31:36.3,6468.65,149,12489.57,Heating Tanks.... ,116.517,58.3,59.3,121.8,69.1,0.004,0,0.002,0.002,0.002,0.002,0,8.341,60.308,0.032,385.975,46.262,6.641,151.61,0,0.004,0,0,125.4,122.4,117.5,112.8,110.9,110.1,0,1,0,0,0,224.852,68.476,30.2,0.77,29.421,71.28,38.484,37.905,40349.49345,1064.49,44907.63963,42.187,NatG-1,
9/25/2020,31:39.3,6471.65,152,12492.57,Heating Tanks.... ,116.667,58.5,59.3,121.7,69.1,0.004,0,0.002,0.002,0.002,0.002,0,8.341,60.346,0.032,385.975,46.262,6.639,151.61,0,0.004,0,0,125.4,122.4,117.9,112.9,111,110.4,0,1,0,0,0,225.396,68.486,30.18,0.76,29.421,71.27,38.438,37.862,40303.72038,1064.49,44941.70331,42.219,NatG-1,
