TC2 (°F) - Min,119.400000,119.900000,121.000000,100.466667,100.200000,119.266667,119.300000,104.600000,105.133333,108.200000,109.000000,109.000000,114.566667,114.366667,114.300000,120.400000,120.333333,120.233333,118.600000,118.133333,117.766667,117.700000,117.800000,114.466667,115.133333,112.100000,112.233333,117.900000,117.666667,106.700000,106.600000,106.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Mean,119.366667,119.800000,121.166667,108.303066,99.466667,118.732982,116.233333,108.566191,100.833333,111.206607,104.700000,104.833333,115.794261,108.533333,108.566667,119.709732,119.066667,118.200000,117.254988,115.700000,115.075000,113.800000,113.800000,114.059259,113.566667,111.092218,109.233333,119.109381,115.666667,109.790603,103.500000,103.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Standard Deviation,NaN,NaN,NaN,6.421286,NaN,1.259007,NaN,3.776792,NaN,4.573385,NaN,NaN,3.218768,NaN,NaN,0.221262,NaN,NaN,0.460456,NaN,0.644278,NaN,NaN,0.361214,NaN,1.191447,NaN,1.204531,NaN,3.427916,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Variance,NaN,NaN,NaN,41.232908,NaN,1.585098,NaN,14.264157,NaN,20.915849,NaN,NaN,10.360469,NaN,NaN,0.048957,NaN,NaN,0.212019,NaN,0.415094,NaN,NaN,0.130475,NaN,1.419547,NaN,1.450895,NaN,11.750606,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Max,119.366667,119.800000,121.166667,121.100000,99.466667,120.100000,116.233333,115.700000,100.833333,119.600000,104.700000,104.833333,120.833333,108.533333,108.566667,120.100000,119.066667,118.200000,117.900000,115.700000,115.900000,113.800000,113.800000,114.600000,113.566667,112.966667,109.233333,120.566667,115.666667,115.900000,103.500000,103.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Min,119.366667,119.800000,121.166667,97.633333,99.466667,116.600000,116.233333,100.933333,100.833333,103.700000,104.700000,104.833333,110.000000,108.533333,108.566667,118.933333,119.066667,118.200000,115.800000,115.700000,113.800000,113.800000,113.800000,113.500000,113.566667,109.300000,109.233333,115.800000,115.666667,103.066667,103.500000,103.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Mean,119.200000,119.500000,121.300000,107.417693,98.400000,118.232982,115.766667,107.891829,102.766667,110.779838,103.700000,103.700000,115.026808,109.500000,109.466667,118.655231,118.500000,118.300000,116.454015,116.000000,114.367381,113.400000,113.400000,113.823704,113.666667,110.310685,108.333333,118.525948,115.666667,108.757324,104.300000,103.966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Standard Deviation,NaN,NaN,NaN,6.748658,NaN,1.244539,NaN,3.865935,NaN,4.361328,NaN,NaN,3.531236,NaN,NaN,0.916100,NaN,NaN,0.824018,NaN,0.680227,NaN,NaN,0.590470,NaN,1.157152,NaN,1.242851,NaN,3.506488,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Variance,NaN,NaN,NaN,45.544380,NaN,1.548877,NaN,14.945456,NaN,19.021185,NaN,NaN,12.469626,NaN,NaN,0.839239,NaN,NaN,0.679005,NaN,0.462709,NaN,NaN,0.348655,NaN,1.339000,NaN,1.544677,NaN,12.295459,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4 (°F) - Max,119.200000,119.500000,121.300000,121.233333,98.400000,120.200000,115.766667,115.800000,102.766667,119.766667,103.700000,103.700000,120.966667,109.500000,109.466667,119.900000,118.500000,118.300000,117.633333,116.000000,115.100000,113.400000,113.400000,114.600000,113.666667,112.266667,108.333333,120.700000,115.666667,115.566667,104.300000,103.966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
